Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
Tempest 4120-600Kv  Twin,4.00,600.00,12.00,10.00,14.80,7981.00,78.72,1165.00,618.03,4.16,33.79,0.36,1.45
Tempest 4120-700Kv  Twin,5.00,700.00,11.00,7.00,18.50,11410.00,99.88,1847.80,389.65,6.80,33.79,0.37,1.45
BadAss 3530-630Kv ,5.00,630.00,13.00,8.00,18.50,9985.00,78.64,1454.90,247.44,4.33,33.79,0.30,1.16
BadAss 4530-440Kv ,6.00,440.00,16.00,10.00,22.20,7986.00,102.49,2275.30,158.22,6.03,33.79,0.26,1.37
Tempest 4120-700Kv ,5.00,700.00,11.00,7.00,18.50,11410.00,49.94,923.90,389.65,3.40,33.79,0.37,1.11
Cobra C-3520/18  Twin,5.00,550.00,11.00,10.00,18.50,7969.00,49.14,909.00,792.08,3.09,33.75,0.34,1.32
Cobra CP-2814-1450  Twin,4.00,1450.00,7.00,4.00,14.80,19932.00,88.08,1303.40,552.40,3.55,33.75,0.27,1.13
BadAss 2820-910Kv  Twin,4.00,910.00,11.00,8.00,14.80,9966.00,101.48,1502.00,479.36,4.86,33.75,0.32,1.19
BadAss 3515-710  Twin,5.00,710.00,9.00,7.00,18.50,11390.00,53.20,984.20,731.56,3.99,33.75,0.41,1.26
Tempest 4130-460Kv  Twin,5.00,460.00,13.00,10.00,18.50,7975.00,64.54,1194.00,603.02,5.54,33.75,0.46,1.65
BadAss 3520-650Kv ,4.00,650.00,14.00,10.00,14.80,7974.00,56.24,832.40,432.48,3.37,33.75,0.40,1.06
BadAss 3530-890 ,4.00,890.00,13.00,7.00,14.80,11397.00,84.01,1243.30,289.55,4.69,33.75,0.38,1.16
Cobra C-2826-EF1  Twin,5.00,1200.00,7.00,4.00,18.50,19898.00,61.34,1134.60,634.58,3.39,33.70,0.30,1.24
Cobra C-2826-EF1-SS  Twin,5.00,1200.00,7.00,4.00,18.50,19898.00,61.34,1134.60,634.58,3.39,33.70,0.30,1.24
Cobra C-3510/16  Twin,4.00,1200.00,9.00,6.00,14.80,13278.00,80.78,1195.40,602.31,3.79,33.70,0.32,1.17
Cobra C-4120/14  Twin,5.00,710.00,10.00,7.00,18.50,11381.00,69.58,1287.20,559.35,4.42,33.70,0.34,1.48
Tempest 2826-1140Kv  Twin,3.00,1140.00,10.00,8.00,11.10,9954.00,94.18,1045.40,688.73,3.54,33.70,0.34,1.22
Tempest 2826-1140Kv  Twin,3.00,1140.00,11.00,8.00,11.10,9959.00,98.46,1093.00,658.74,4.45,33.70,0.41,1.22
Tempest 4120-700Kv  Twin,5.00,700.00,11.00,7.00,18.50,11368.00,102.16,1890.00,380.95,6.32,33.70,0.33,1.45
Cobra C-3525/10 ,4.00,780.00,14.00,10.00,14.80,7961.00,61.67,912.70,394.43,3.33,33.70,0.37,1.08
BadAss 2826-1360 ,3.00,1360.00,11.00,7.00,11.10,11382.00,91.43,1014.80,354.75,3.14,33.70,0.31,1.03
BadAss 2826-1360 ,4.00,1360.00,10.00,5.00,14.80,15934.00,90.18,1334.70,269.72,4.07,33.70,0.31,1.03
BadAss 4530-440Kv ,6.00,440.00,16.00,10.00,22.20,7967.00,103.47,2296.90,156.73,8.17,33.70,0.36,1.37
BadAss 4530-730Kv ,4.00,730.00,12.00,8.00,14.80,9950.00,79.67,1179.10,305.32,4.33,33.70,0.37,1.36
Tempest 4120-700Kv ,5.00,700.00,11.00,7.00,18.50,11368.00,51.08,945.00,380.95,3.16,33.70,0.33,1.11
Cobra C-3515/18  Twin,4.00,740.00,11.00,10.00,14.80,7953.00,63.78,944.00,762.71,3.11,33.66,0.33,1.25
Cobra C-3525/14  Twin,6.00,560.00,11.00,8.00,22.20,9936.00,63.28,1404.80,512.53,5.67,33.66,0.40,1.40
Cobra C-4120/20  Twin,7.00,480.00,12.00,8.00,25.90,9938.00,73.94,1915.20,375.94,6.17,33.66,0.32,1.47
BadAss 2814-870  Twin,4.00,870.00,10.00,8.00,14.80,9934.00,67.18,994.20,724.20,3.53,33.66,0.36,1.12
BadAss 2826-1030  Twin,6.00,1030.00,8.00,4.00,22.20,19875.00,94.68,2101.80,342.56,5.18,33.66,0.25,1.25
BadAss 2826-1360  Twin,3.00,1360.00,8.00,6.00,11.10,13252.00,88.80,985.60,730.52,3.02,33.66,0.31,1.26
BadAss 4520-540Kv  Twin,6.00,540.00,12.00,8.00,22.20,9941.00,86.36,1917.00,375.59,5.86,33.66,0.31,1.68
Tempest 3520-550Kv  Twin,6.00,550.00,11.00,8.00,22.20,9940.00,66.22,1470.00,489.80,5.76,33.66,0.39,1.30
Tempest 4130-400Kv  Twin,5.00,400.00,14.00,12.00,18.50,6625.00,80.44,1488.00,483.87,4.72,33.66,0.32,1.65
Cobra C-4120/20 ,7.00,480.00,12.00,8.00,25.90,9938.00,36.97,957.60,375.94,3.08,33.66,0.32,1.12
BadAss 4530-360Kv ,6.00,360.00,17.00,12.00,22.20,6629.00,70.72,1570.10,229.28,5.17,33.66,0.33,1.36
Cobra C-3520/18  Twin,6.00,550.00,11.00,8.50,22.20,9347.00,57.02,1265.80,568.81,4.45,33.61,0.35,1.32
Tempest 2826-920Kv  Twin,3.00,920.00,11.00,10.00,11.10,7946.00,88.82,985.80,730.37,3.10,33.61,0.31,1.22
BadAss 3520-970 ,3.00,970.00,14.00,10.00,11.10,7939.00,85.43,948.30,379.63,3.21,33.61,0.34,1.06
Cobra C-3520/14  Twin,5.00,700.00,11.00,8.00,18.50,9909.00,75.08,1389.00,518.36,4.78,33.57,0.34,1.32
Cobra C-4120/16  Twin,6.00,610.00,11.00,7.00,22.20,11336.00,85.98,1908.60,377.24,6.58,33.57,0.34,1.47
BadAss 2814-870  Twin,5.00,870.00,9.00,6.00,18.50,13222.00,59.42,1099.20,655.02,3.71,33.57,0.34,1.12
BadAss 2820-910Kv  Twin,5.00,910.00,10.00,6.00,18.50,13210.00,94.04,1739.80,413.84,5.35,33.57,0.31,1.19
BadAss 3515-580Kv  Twin,6.00,580.00,9.00,7.00,22.20,11330.00,43.76,971.20,741.35,4.03,33.57,0.42,1.27
BadAss 3515-940  Twin,4.00,940.00,10.00,7.00,14.80,11329.00,100.58,1488.40,483.74,5.56,33.57,0.37,1.26
BadAss 3520-650Kv  Twin,6.00,650.00,10.00,6.00,22.20,13210.00,71.86,1595.20,451.35,5.23,33.57,0.33,1.35
Tempest 2820-1460Kv  Twin,3.00,1460.00,8.00,6.00,11.10,13209.00,83.02,921.60,781.25,3.01,33.57,0.33,1.17
Tempest 4130-690Kv  Twin,4.00,690.00,12.00,8.50,14.80,9335.00,77.52,1147.20,627.62,4.91,33.57,0.43,1.66
Cobra C-4120/16 ,6.00,610.00,11.00,7.00,22.20,11336.00,42.99,954.30,377.24,3.29,33.57,0.34,1.12
Cobra C-3515/18  Twin,6.00,740.00,8.00,6.00,22.20,13196.00,45.62,1012.80,710.90,3.07,33.52,0.30,1.25
Cobra C-4120/18  Twin,6.00,540.00,12.00,8.00,22.20,9897.00,84.74,1881.40,382.69,5.89,33.52,0.31,1.47
BadAss 2814-1300  Twin,5.00,1300.00,7.00,4.00,18.50,19788.00,72.80,1346.80,534.60,3.74,33.52,0.28,1.13
Tempest 2820-840Kv  Twin,5.00,840.00,9.00,6.00,18.50,13195.00,60.98,1128.00,638.30,3.78,33.52,0.34,1.16
Cobra C-4120/14  Twin,5.00,710.00,10.00,7.00,18.50,11292.00,75.76,1401.40,513.77,5.62,33.48,0.40,1.48
BadAss 2820-1080  Twin,3.00,1080.00,10.00,8.00,11.10,9884.00,83.84,930.60,773.69,3.48,33.48,0.37,1.19
BadAss 2826-690  Twin,6.00,690.00,9.00,6.00,22.20,13189.00,48.86,1084.60,663.84,3.75,33.48,0.35,1.25
BadAss 2826-820Kv  Twin,4.00,820.00,11.00,8.00,14.80,9889.00,93.50,1383.80,520.31,4.67,33.48,0.34,1.24
Tempest 2820-840Kv  Twin,4.00,840.00,10.00,8.00,14.80,9883.00,69.46,1028.00,700.39,3.48,33.48,0.34,1.16
Tempest 4130-690Kv ,6.00,690.00,12.00,6.00,22.20,13183.00,80.94,1796.90,200.35,5.57,33.48,0.31,1.22
Cobra C-2826-EF1  Twin,5.00,1200.00,7.00,4.00,18.50,19744.00,64.70,1197.00,601.50,3.47,33.44,0.29,1.24
Cobra C-2826-EF1-SS  Twin,5.00,1200.00,7.00,4.00,18.50,19744.00,64.70,1197.00,601.50,3.47,33.44,0.29,1.24
Cobra C-3525/12  Twin,6.00,650.00,11.00,7.00,22.20,11282.00,84.20,1869.00,385.23,7.01,33.44,0.37,1.40
BadAss 3515-710  Twin,6.00,710.00,10.00,6.00,22.20,13163.00,74.88,1662.20,433.16,5.27,33.44,0.32,1.26
Cobra C-3525/12 ,6.00,650.00,11.00,7.00,22.20,11282.00,42.10,934.50,385.23,3.50,33.44,0.37,1.08
Cobra C-5320/18 ,6.00,370.00,17.00,12.00,22.20,6580.00,69.59,1544.80,233.04,4.96,33.44,0.32,1.32
Cobra C-3525/12  Twin,6.00,650.00,11.00,7.00,22.20,11267.00,84.90,1884.60,382.04,6.37,33.39,0.34,1.40
BadAss 2315-1100Kv  Twin,6.00,1110.00,7.00,4.00,22.20,19719.00,56.66,1257.80,572.43,3.52,33.39,0.28,1.04
BadAss 2814-1120  Twin,3.00,1120.00,9.00,8.00,11.10,9864.00,79.26,879.80,818.37,3.43,33.39,0.39,1.13
Tempest 4120-520Kv  Twin,6.00,520.00,12.00,8.00,22.20,9863.00,105.98,2352.80,306.02,8.65,33.39,0.37,1.45
Cobra C-3525/12 ,6.00,650.00,11.00,7.00,22.20,11267.00,42.45,942.30,382.04,3.18,33.39,0.34,1.08
BadAss 4530-550Kv ,5.00,550.00,14.00,9.00,18.50,8767.00,82.93,1534.30,234.63,5.92,33.39,0.39,1.37
Tempest 4120-520Kv ,6.00,520.00,12.00,8.00,22.20,9863.00,52.99,1176.40,306.02,4.32,33.39,0.37,1.11
Cobra C-3515/18  Twin,6.00,740.00,9.00,6.00,22.20,13127.00,46.98,1042.80,690.45,3.73,33.35,0.36,1.25
Cobra C-3520/14  Twin,6.00,700.00,8.00,6.00,22.20,13126.00,44.94,997.80,721.59,3.06,33.35,0.31,1.32
Cobra C-4120/12  Twin,3.00,850.00,11.00,10.00,11.10,7873.00,80.96,898.60,801.25,3.06,33.35,0.34,1.48
Cobra C-5320/22  Twin,7.00,300.00,16.00,12.00,25.90,6567.00,97.20,2517.40,286.01,7.64,33.35,0.30,1.87
BadAss 2315-1090Kv  Twin,6.00,1090.00,7.00,4.00,22.20,19683.00,50.20,1114.20,646.20,3.25,33.35,0.29,0.78
BadAss 2820-910Kv  Twin,4.00,910.00,11.00,8.00,14.80,9844.00,103.90,1537.80,468.20,5.53,33.35,0.36,1.19
BadAss 2826-1360  Twin,3.00,1360.00,9.00,6.00,11.10,13122.00,95.86,1064.20,676.56,3.66,33.35,0.34,1.26
BadAss 2826-690  Twin,5.00,690.00,9.00,7.00,18.50,11255.00,50.74,938.80,766.94,3.90,33.35,0.42,1.25
BadAss 3520-790  Twin,4.00,790.00,11.00,8.00,14.80,9842.00,88.80,1314.20,547.86,4.54,33.35,0.35,1.34
BadAss 3520-790  Twin,5.00,790.00,9.00,6.00,18.50,13132.00,58.50,1082.40,665.19,3.61,33.35,0.33,1.34
Tempest 2820-1170Kv  Twin,3.00,1170.00,11.00,8.00,11.10,9841.00,97.40,1081.20,665.93,4.23,33.35,0.39,1.16
Tempest 2826-920Kv  Twin,4.00,920.00,10.00,7.00,14.80,11255.00,87.22,1290.80,557.79,4.42,33.35,0.34,1.22
Tempest 4120-600Kv  Twin,5.00,600.00,12.00,8.00,18.50,9850.00,99.82,1846.40,389.95,5.71,33.35,0.31,1.45
Cobra C-5320/22 ,7.00,300.00,16.00,12.00,25.90,6567.00,48.60,1258.70,286.01,3.82,33.35,0.30,1.32
BadAss 2826-1360 ,3.00,1360.00,11.00,7.00,11.10,11248.00,93.38,1036.50,347.32,3.44,33.35,0.33,1.03
Cobra C-3520/14  Twin,5.00,700.00,11.00,8.00,18.50,9833.00,77.06,1425.60,505.05,5.63,33.30,0.39,1.32
BadAss 2814-870  Twin,4.00,870.00,11.00,8.00,14.80,9828.00,68.42,1012.60,711.04,4.15,33.30,0.41,1.12
BadAss 2826-1030  Twin,3.00,1030.00,12.00,8.50,11.10,9250.00,103.20,1145.40,628.60,5.01,33.30,0.44,1.25
Tempest 4130-460Kv ,6.00,460.00,14.00,9.00,22.20,8741.00,70.96,1575.20,228.54,5.88,33.30,0.37,1.21
Cobra C-2826/6  Twin,3.00,1470.00,8.00,6.00,11.10,13100.00,96.24,1068.20,674.03,3.06,33.26,0.29,1.23
BadAss 2820-1080  Twin,3.00,1080.00,11.00,8.00,11.10,9818.00,87.04,966.20,745.19,4.13,33.26,0.43,1.19
BadAss 2826-690  Twin,5.00,690.00,12.00,8.00,18.50,9821.00,102.18,1890.20,380.91,5.69,33.26,0.30,1.25
BadAss 4520-540Kv  Twin,6.00,540.00,12.00,8.00,22.20,9820.00,101.90,2262.00,318.30,8.72,33.26,0.39,1.68
Tempest 2820-1170Kv  Twin,5.00,1170.00,7.00,4.00,18.50,19637.00,58.24,1077.20,668.40,3.23,33.26,0.30,1.16
Tempest 4120-700Kv  Twin,4.00,700.00,11.00,8.50,14.80,9239.00,77.48,1146.80,627.83,4.25,33.26,0.37,1.45
BadAss 4520-540Kv ,6.00,540.00,12.00,8.00,22.20,9820.00,50.95,1131.00,318.30,4.36,33.26,0.39,1.23
Tempest 4120-830Kv ,4.00,830.00,11.00,7.00,14.80,11231.00,61.18,905.50,397.57,3.30,33.26,0.36,1.11
Cobra C-2826/10  Twin,4.00,930.00,9.00,7.00,14.80,11216.00,66.56,985.20,730.82,4.08,33.21,0.41,1.23
Cobra C-3520/14  Twin,6.00,700.00,9.00,6.00,22.20,13083.00,46.64,1035.60,695.25,3.73,33.21,0.36,1.32
Cobra C-4120/16  Twin,5.00,610.00,11.00,8.00,18.50,9801.00,68.76,1272.00,566.04,4.72,33.21,0.37,1.47
Cobra C-4120/22  Twin,6.00,430.00,14.00,10.00,22.20,7848.00,66.88,1484.60,484.98,6.57,33.21,0.44,1.47
BadAss 2814-1560Kv  Twin,3.00,1560.00,9.00,6.00,11.10,13083.00,101.96,1131.80,636.15,3.62,33.21,0.32,1.13
BadAss 2820-1080  Twin,3.00,1080.00,12.00,8.50,11.10,9229.00,109.26,1212.80,593.67,5.02,33.21,0.41,1.19
BadAss 2826-820Kv  Twin,4.00,820.00,11.00,8.00,14.80,9801.00,96.40,1426.80,504.63,5.38,33.21,0.38,1.24
BadAss 3520-650Kv  Twin,5.00,650.00,9.00,7.00,18.50,11208.00,51.96,961.20,749.06,3.79,33.21,0.39,1.35
BadAss 3520-790  Twin,4.00,790.00,11.00,8.00,14.80,9806.00,91.30,1351.20,532.86,5.25,33.21,0.39,1.34
Tempest 2820-840Kv  Twin,4.00,840.00,11.00,8.00,14.80,9808.00,70.56,1044.20,689.52,4.23,33.21,0.41,1.16
Cobra C-2826-EF1 ,5.00,1200.00,9.00,4.50,18.50,17429.00,66.35,1227.40,293.30,3.34,33.21,0.27,1.01
Cobra C-2826-EF1-SS ,5.00,1200.00,9.00,4.50,18.50,17429.00,66.35,1227.40,293.30,3.34,33.21,0.27,1.01
Cobra C-4120/22 ,6.00,430.00,14.00,10.00,22.20,7848.00,33.44,742.30,484.98,3.28,33.21,0.44,1.12
BadAss 3530-890 ,5.00,890.00,11.00,5.50,18.50,14273.00,92.12,1704.10,211.26,4.56,33.21,0.27,1.16
BadAss 4530-550Kv ,4.00,550.00,17.00,12.00,14.80,6539.00,108.12,1600.20,224.97,5.04,33.21,0.32,1.37
Cobra C-3515/12  Twin,4.00,1100.00,8.00,6.00,14.80,13065.00,68.40,1012.20,711.32,3.02,33.17,0.30,1.25
Cobra C-4130/12  Twin,6.00,540.00,12.00,8.00,22.20,9800.00,102.74,2280.60,315.71,8.94,33.17,0.39,1.69
BadAss 2820-1350  Twin,3.00,1350.00,8.00,6.00,11.10,13053.00,74.42,826.20,871.46,3.13,33.17,0.38,1.19
BadAss 3530-630Kv  Twin,5.00,630.00,10.00,7.00,18.50,11198.00,71.24,1318.00,546.28,5.29,33.17,0.40,1.54
Tempest 2820-1170Kv  Twin,3.00,1170.00,10.00,8.00,11.10,9794.00,94.86,1053.00,683.76,3.39,33.17,0.32,1.16
Cobra C-4130/12 ,6.00,540.00,12.00,8.00,22.20,9800.00,51.37,1140.30,315.71,4.47,33.17,0.39,1.23
BadAss 4530-730Kv ,4.00,730.00,13.00,8.00,14.80,9789.00,88.17,1304.90,275.88,4.15,33.17,0.32,1.37
Tempest 4130-690Kv ,6.00,690.00,12.00,6.00,22.20,13060.00,87.08,1933.20,186.22,5.11,33.17,0.26,1.22
BadAss 2814-870  Twin,5.00,870.00,10.00,6.00,18.50,13048.00,63.00,1165.40,617.81,4.46,33.12,0.38,1.12
BadAss 2814-870  Twin,5.00,870.00,8.00,6.00,18.50,13043.00,49.74,920.40,782.27,3.44,33.12,0.37,1.12
BadAss 2820-780  Twin,4.00,780.00,12.00,8.50,14.80,9200.00,77.18,1142.40,630.25,5.01,33.12,0.44,1.19
BadAss 2826-690  Twin,6.00,690.00,10.00,6.00,22.20,13038.00,70.32,1561.00,461.24,5.15,33.12,0.33,1.25
BadAss 3530-650Kv  Twin,5.00,570.00,12.00,8.50,18.50,9208.00,57.92,1071.60,671.89,4.98,33.12,0.46,1.53
Tempest 4130-460Kv  Twin,5.00,460.00,14.00,10.00,18.50,7830.00,77.72,1438.00,500.70,6.59,33.12,0.46,1.65
BadAss 3530-700 ,5.00,700.00,13.00,7.00,18.50,11175.00,62.60,1158.00,310.88,4.50,33.12,0.39,1.15
Tempest 4130-460Kv ,5.00,460.00,14.00,10.00,18.50,7830.00,38.86,719.00,500.70,3.29,33.12,0.46,1.21
Cobra C-3520/12  Twin,5.00,820.00,8.00,6.00,18.50,13029.00,43.04,796.00,904.52,3.20,33.08,0.40,1.32
BadAss 2814-980Kv  Twin,4.00,980.00,9.00,7.00,14.80,11170.00,66.98,991.40,726.25,3.79,33.08,0.38,1.13
BadAss 2826-1030  Twin,3.00,1030.00,10.00,8.00,11.10,9769.00,77.88,864.60,832.76,3.41,33.08,0.39,1.25
BadAss 4530-730Kv ,4.00,730.00,13.00,8.00,14.80,9767.00,90.17,1334.50,269.76,4.87,33.08,0.36,1.37
Tempest 4120-830Kv ,4.00,830.00,11.00,7.00,14.80,11164.00,60.73,898.90,400.49,3.05,33.08,0.34,1.11
Cobra C-3520/12  Twin,4.00,820.00,11.00,8.50,14.80,9178.00,81.66,1208.40,595.83,4.31,33.03,0.36,1.32
BadAss 2315-2300Kv  Twin,3.00,2300.00,7.00,4.00,11.10,19503.00,108.86,1208.40,595.83,3.21,33.03,0.27,1.04
BadAss 2315-1090Kv  Twin,6.00,1090.00,7.00,4.00,22.20,19497.00,53.06,1178.00,611.21,3.44,33.03,0.29,0.78
BadAss 2820-910Kv  Twin,4.00,910.00,9.00,7.00,14.80,11144.00,64.94,961.00,749.22,3.85,33.03,0.40,1.19
BadAss 2826-1030  Twin,3.00,1030.00,11.00,8.50,11.10,9177.00,106.82,1185.80,607.19,4.19,33.03,0.35,1.25
BadAss 3515-580Kv  Twin,6.00,580.00,10.00,7.00,22.20,11145.00,50.70,1125.40,639.77,4.19,33.03,0.37,1.27
BadAss 3530-890  Twin,3.00,890.00,12.00,8.50,11.10,9180.00,95.82,1063.60,676.95,4.91,33.03,0.46,1.53
Tempest 2820-1460Kv  Twin,3.00,1460.00,8.00,6.00,11.10,13015.00,77.70,862.40,834.88,3.19,33.03,0.37,1.17
BadAss 3515-1130 ,5.00,1130.00,9.00,4.50,18.50,17352.00,60.58,1120.70,321.23,3.21,33.03,0.29,1.02
BadAss 3530-700 ,6.00,700.00,12.00,6.00,22.20,13009.00,79.70,1769.40,203.46,5.53,33.03,0.31,1.15
Tempest 4120-520Kv ,6.00,520.00,13.00,8.00,22.20,9752.00,56.19,1247.30,288.62,4.07,33.03,0.33,1.11
Cobra C-2814/10  Twin,4.00,1700.00,7.00,4.00,14.80,19494.00,80.46,1190.80,604.64,3.41,32.99,0.29,1.11
Cobra C-3515/12  Twin,4.00,1100.00,9.00,6.00,14.80,12992.00,70.72,1046.60,687.94,3.64,32.99,0.35,1.25
Cobra C-4120/16  Twin,5.00,610.00,11.00,8.00,18.50,9744.00,71.30,1319.00,545.87,5.59,32.99,0.42,1.47
Cobra C-4120/18  Twin,5.00,540.00,13.00,10.00,18.50,7797.00,100.46,1858.60,387.39,5.46,32.99,0.29,1.47
Cobra C-5320/22  Twin,7.00,300.00,17.00,12.00,25.90,6490.00,109.38,2832.80,254.17,9.60,32.99,0.34,1.87
BadAss 2826-1360  Twin,3.00,1360.00,10.00,6.00,11.10,12988.00,101.36,1125.00,640.00,4.37,32.99,0.39,1.26
BadAss 3520-560  Twin,6.00,560.00,10.00,7.00,22.20,11137.00,51.98,1153.80,624.02,4.13,32.99,0.36,1.35
Tempest 2814-1400Kv  Twin,3.00,1400.00,9.00,7.00,11.10,11138.00,95.12,1055.80,681.95,3.75,32.99,0.36,1.11
Cobra C-5320/22 ,7.00,300.00,17.00,12.00,25.90,6490.00,54.69,1416.40,254.17,4.80,32.99,0.34,1.32
BadAss 2826-1030 ,5.00,1030.00,10.00,5.00,18.50,15592.00,63.89,1182.00,304.57,3.85,32.99,0.33,1.01
BadAss 3520-650Kv ,4.00,650.00,14.00,10.00,14.80,7798.00,60.91,901.50,399.33,3.60,32.99,0.40,1.06
BadAss 3515-710  Twin,5.00,710.00,10.00,7.00,18.50,11125.00,62.30,1152.40,624.78,4.13,32.94,0.36,1.26
BadAss 4520-540Kv  Twin,4.00,540.00,14.00,12.00,14.80,6488.00,95.34,1410.80,510.35,4.42,32.94,0.31,1.68
Tempest 3515-1330Kv  Twin,3.00,1330.00,9.00,7.00,11.10,11116.00,89.94,998.40,721.15,3.86,32.94,0.39,1.23
Cobra C-5320/18 ,7.00,370.00,16.00,10.00,25.90,7787.00,73.47,1902.80,189.19,5.56,32.94,0.29,1.32
Cobra C-3515/14  Twin,5.00,950.00,10.00,6.00,18.50,12952.00,86.12,1593.20,451.92,5.32,32.90,0.33,1.25
Cobra C-3520/12  Twin,5.00,820.00,11.00,7.00,18.50,11096.00,101.96,1886.20,381.72,6.24,32.90,0.33,1.32
BadAss 2820-780  Twin,4.00,780.00,10.00,8.00,14.80,9717.00,58.48,865.60,831.79,3.49,32.90,0.40,1.19
BadAss 2826-820Kv  Twin,5.00,820.00,10.00,6.00,18.50,12961.00,85.84,1588.00,453.40,5.24,32.90,0.33,1.24
BadAss 3520-970  Twin,3.00,970.00,12.00,8.50,11.10,9140.00,96.76,1074.20,670.27,4.80,32.90,0.45,1.34
Tempest 2820-840Kv  Twin,4.00,840.00,12.00,8.50,14.80,9143.00,85.36,1263.40,569.89,4.98,32.90,0.39,1.16
Tempest 4120-600Kv  Twin,4.00,600.00,14.00,10.00,14.80,7775.00,98.80,1462.20,492.41,6.47,32.90,0.44,1.45
Cobra C-3520/12 ,5.00,820.00,11.00,7.00,18.50,11096.00,50.98,943.10,381.72,3.12,32.90,0.33,1.05
BadAss 4520-540Kv ,6.00,540.00,13.00,8.00,22.20,9718.00,55.30,1227.70,293.23,4.10,32.90,0.33,1.23
BadAss 4520-830Kv ,5.00,830.00,12.00,6.00,18.50,12957.00,95.04,1758.20,204.75,5.48,32.90,0.31,1.24
Tempest 4120-600Kv ,4.00,600.00,14.00,10.00,14.80,7775.00,49.40,731.10,492.41,3.23,32.90,0.44,1.11
Cobra C-2826/10  Twin,5.00,930.00,10.00,6.00,18.50,12940.00,85.58,1583.20,454.78,5.39,32.85,0.34,1.23
Cobra C-2826/6  Twin,3.00,1470.00,9.00,6.00,11.10,12939.00,99.20,1101.20,653.83,3.66,32.85,0.33,1.23
Cobra C-3520/12  Twin,5.00,820.00,11.00,7.00,18.50,11091.00,101.60,1879.60,383.06,6.73,32.85,0.36,1.32
Cobra C-3525/10  Twin,5.00,780.00,11.00,7.00,18.50,11090.00,97.44,1802.60,399.42,6.78,32.85,0.38,1.40
Cobra CP-2814-2000  Twin,3.00,2000.00,7.00,4.00,11.10,19414.00,104.78,1163.00,619.09,3.41,32.85,0.29,1.13
BadAss 3530-470  Twin,5.00,470.00,13.00,10.00,18.50,7763.00,57.40,1062.00,677.97,5.28,32.85,0.50,1.52
Tempest 2826-1470Kv  Twin,3.00,1470.00,9.00,6.00,11.10,12939.00,94.40,1047.80,687.15,3.64,32.85,0.35,1.23
Cobra C-3520/12 ,5.00,820.00,11.00,7.00,18.50,11091.00,50.80,939.80,383.06,3.37,32.85,0.36,1.05
Cobra C-3525/10 ,5.00,780.00,11.00,7.00,18.50,11090.00,48.72,901.30,399.42,3.39,32.85,0.38,1.08
Cobra C-3525/10  Twin,5.00,780.00,11.00,7.00,18.50,11076.00,97.64,1806.40,398.58,6.25,32.81,0.35,1.40
Cobra C-4120/20  Twin,7.00,480.00,12.00,8.00,25.90,9689.00,87.14,2257.00,319.01,8.63,32.81,0.38,1.47
Cobra CP-2814-1050  Twin,3.00,1050.00,10.00,8.00,11.10,9695.00,83.32,924.80,778.55,3.43,32.81,0.37,1.13
BadAss 2814-1560Kv  Twin,4.00,1560.00,7.00,4.00,14.80,19371.00,72.56,1073.80,670.52,3.19,32.81,0.30,1.13
BadAss 2820-1080  Twin,4.00,1080.00,10.00,6.00,14.80,12917.00,108.20,1601.40,449.61,5.05,32.81,0.32,1.19
BadAss 2820-780  Twin,5.00,780.00,11.00,7.00,18.50,11069.00,98.22,1817.20,396.21,6.11,32.81,0.34,1.19
BadAss 2826-1030  Twin,3.00,1030.00,11.00,8.00,11.10,9688.00,81.34,903.00,797.34,4.00,32.81,0.44,1.25
BadAss 3530-890  Twin,3.00,890.00,11.00,8.50,11.10,9123.00,99.28,1101.80,653.48,4.20,32.81,0.38,1.53
BadAss 4530-730Kv  Twin,6.00,730.00,10.00,5.00,22.20,15501.00,106.76,2370.00,303.80,7.42,32.81,0.31,1.95
Tempest 4130-460Kv  Twin,5.00,460.00,13.00,10.00,18.50,7756.00,85.04,1573.40,457.61,5.22,32.81,0.33,1.65
Tempest 4130-460Kv  Twin,5.00,460.00,14.00,10.00,18.50,7755.00,86.12,1593.40,451.86,7.02,32.81,0.44,1.65
Cobra C-3525/10 ,5.00,780.00,11.00,7.00,18.50,11076.00,48.82,903.20,398.58,3.13,32.81,0.35,1.08
Cobra C-4120/20 ,7.00,480.00,12.00,8.00,25.90,9689.00,43.57,1128.50,319.01,4.32,32.81,0.38,1.12
BadAss 2820-780 ,5.00,780.00,11.00,7.00,18.50,11069.00,49.11,908.60,396.21,3.06,32.81,0.34,0.98
BadAss 2820-910Kv ,6.00,910.00,10.00,5.00,22.20,15510.00,55.20,1225.40,293.78,3.81,32.81,0.31,0.98
BadAss 4530-730Kv ,6.00,730.00,10.00,5.00,22.20,15501.00,53.38,1185.00,303.80,3.71,32.81,0.31,1.36
Tempest 4120-700Kv ,6.00,700.00,12.00,6.00,22.20,12923.00,77.38,1717.70,209.58,5.40,32.81,0.31,1.11
Tempest 4130-460Kv ,5.00,460.00,14.00,10.00,18.50,7755.00,43.06,796.70,451.86,3.51,32.81,0.44,1.21
Cobra C-2826-EF1  Twin,3.00,1200.00,9.00,7.00,11.10,11052.00,84.20,934.60,770.38,3.78,32.77,0.40,1.24
